# label z_c u_bulle uz_domaine c1 c2 c3 c4 h1 h2 h3 h4 f1 f2 f3 f4 Vb
# c=cone_sup h=hemisphere f=coquille ; bandes r/D=[1,1.5][1.5,2][2,2.5][2.5,3] ; STOCKE (repere mobile)
258.00 68.2477 1.99915 -7.80577 -4.44307 -4.96866 -5.82203 -7.27479 -5.81312 -6.1618 -6.81242 -7.7899 -7.19787 -7.66582 -7.91874 -7.96674 2117.14
259.00 70.4229 1.97975 -9.96622 -7.0457 -7.58613 -8.98198 -9.88565 -7.98529 -8.35958 -9.63313 -10.0176 -8.63244 -8.93926 -9.7595 -10.1074 2121.29
260.00 72.1024 1.69639 -11.6274 -7.18226 -9.14116 -10.9517 -11.6523 -9.42548 -10.5008 -11.6636 -12.0629 -9.91658 -10.5385 -11.3513 -11.6961 2124.44
261.00 74.3819 2.76392 -13.9078 -8.62434 -11.9002 -12.5614 -13.0421 -10.3579 -13.1149 -14.5735 -14.8849 -11.695 -13.4479 -14.299 -14.522 2128.05
262.00 77.0791 1.84808 -16.575 -14.1614 -13.0453 -14.3196 -16.7445 -14.8278 -15.4494 -16.7045 -17.6402 -13.9975 -15.9315 -17.1236 -17.6679 2131.15
263.00 74.8223 -7.46699 -14.2161 -9.66086 -11.4479 -14.5152 -15.0987 -11.9073 -13.6374 -15.581 -15.2491 -11.4888 -13.1672 -14.8764 -15.2089 2130.96
264.00 64.3031 -9.13523 -3.74972 -1.47192 -2.32128 -3.86446 -4.11913 -2.01376 -3.56363 -4.79127 -4.22835 -1.42811 -2.78973 -4.13119 -4.05966 2126.22
265.00 60.0575 -0.322383 0.376875 2.05837 1.54208 0.418396 0.108694 1.79422 0.856451 -0.390542 0.0323934 2.71223 1.55622 0.123869 0.150731 2123.48
266.00 60.7521 0.618651 -0.33021 0.249145 -0.170383 -0.390851 -0.330415 -0.00780242 -0.230134 -0.640527 -0.415315 1.07942 0.693702 -0.197365 -0.389902 2123.55
267.00 61.3763 0.906254 -0.954191 -1.98595 -1.6511 -1.30516 -0.672476 -2.12981 -1.29312 -0.779762 -0.534796 -1.1594 -0.438971 -0.406945 -0.613638 2121.58
268.00 62.3998 1.26547 -1.97579 -3.43974 -2.90543 -2.45287 -1.24703 -3.58809 -2.7553 -1.73794 -1.16935 -3.34452 -2.09573 -1.30675 -1.28005 2120.86
269.00 64.1224 2.20521 -3.69611 -4.72308 -4.36716 -3.63599 -2.34529 -5.04843 -4.73975 -3.48245 -2.58893 -5.39342 -4.5146 -3.14058 -2.68535 2120.76
270.00 66.7061 2.3854 -6.26557 -6.34344 -6.30926 -5.1657 -4.26778 -7.40626 -7.03747 -5.5711 -5.19378 -7.44196 -7.35604 -5.81752 -5.29027 2123.1
271.00 67.6079 -0.84108 -7.13327 -7.40265 -7.55023 -6.21027 -5.80585 -8.31435 -7.32816 -6.66413 -6.75348 -8.27424 -7.70644 -6.88894 -6.68031 2123.26
272.00 65.5324 -2.34044 -5.05639 -6.98056 -6.31257 -6.06949 -5.80468 -6.43439 -5.95919 -5.56176 -5.06135 -6.84844 -5.79754 -5.47218 -4.98636 2121.93
273.00 64.6363 0.480228 -4.19635 -6.93519 -7.7402 -7.86183 -6.54125 -6.67669 -6.23677 -5.44046 -4.64316 -6.75922 -6.08472 -5.29921 -4.42567 2119.26
274.00 65.4248 0.497926 -4.97488 -9.44409 -9.80079 -9.61355 -8.18277 -8.69379 -7.50205 -6.83532 -5.87843 -8.10935 -7.2287 -6.54754 -5.65795 2118.87
275.00 65.5125 -0.021765 -5.03742 -8.04698 -8.82141 -8.29529 -7.26085 -8.17742 -7.22521 -6.45998 -5.9181 -8.25601 -6.71343 -5.97802 -5.69478 2120.58
276.00 66.0507 1.34596 -5.58264 -7.38883 -7.78065 -7.41227 -6.85523 -6.97733 -7.37131 -6.69439 -6.34601 -7.54516 -7.10711 -6.22778 -5.88754 2121.05
277.00 68.0068 1.89398 -7.52901 -9.47902 -9.02948 -8.41276 -7.98191 -9.14865 -8.71361 -8.17559 -7.83903 -8.95599 -8.7275 -7.89192 -7.51301 2121.73
278.00 68.1223 -1.95517 -7.59479 -9.8512 -8.97915 -8.55565 -8.44831 -9.39769 -8.50124 -8.14067 -7.47695 -9.49694 -8.6507 -7.77388 -7.36419 2122.67
279.00 65.5099 -2.08284 -4.99465 -8.08981 -7.14211 -6.41732 -5.77922 -7.00406 -6.32505 -5.29002 -4.22065 -7.28437 -6.14784 -5.0035 -4.50786 2121.58
280.00 65.7546 1.97218 -5.28582 -7.76747 -6.78251 -5.99534 -5.08446 -7.4626 -6.35958 -5.43222 -4.25052 -7.22864 -6.49595 -5.43128 -4.51545 2121.07
281.00 66.3691 -1.54483 -5.85192 -6.99263 -6.70001 -6.36559 -5.50869 -7.0275 -6.60986 -6.04597 -5.02619 -6.93125 -6.66181 -5.83788 -4.9819 2121.41
282.00 64.2103 -1.56505 -3.69145 -4.74278 -4.66151 -4.41224 -3.60519 -4.28245 -4.32171 -3.94653 -3.20403 -3.79485 -3.74104 -3.42434 -2.8986 2123.66
283.00 64.024 1.15219 -3.53524 -5.02506 -4.29069 -4.24043 -3.65625 -4.13051 -3.64653 -3.65006 -3.04164 -3.27875 -2.63124 -2.95556 -2.8423 2125.99
284.00 65.8114 2.12179 -5.3246 -4.96069 -5.45523 -5.66522 -4.84796 -5.37045 -5.29944 -4.84665 -4.54025 -5.0291 -4.36414 -4.32664 -4.40197 2127.75
285.00 68.4126 3.04231 -7.91559 -7.17252 -7.97395 -6.9518 -6.37153 -7.74566 -7.12999 -6.84119 -7.00362 -7.89555 -7.08106 -6.75044 -6.77518 2131.18
286.00 70.9627 1.35902 -10.4312 -7.77041 -8.35401 -7.73577 -7.04367 -8.94276 -8.84311 -8.25023 -8.92492 -9.10817 -9.20494 -8.97131 -9.41044 2136.51
287.00 72.4758 2.37444 -11.9427 -7.36865 -8.02929 -7.86179 -7.68989 -8.78253 -9.24991 -8.90929 -10.0597 -8.99417 -10.0461 -9.90142 -10.6088 2138.69
288.00 72.3299 -2.98996 -11.7563 -6.54438 -6.19634 -6.62233 -8.55229 -7.73686 -7.75777 -8.96765 -10.8734 -8.35784 -8.6263 -9.38761 -10.873 2137.24
289.00 68.2304 -3.20149 -7.69032 -1.81524 -1.55435 -3.29619 -5.50243 -3.63582 -4.53871 -5.64826 -7.21834 -4.26146 -4.88881 -5.72895 -7.10124 2134.7
290.00 67.3193 1.23514 -6.82414 -0.118359 -0.550368 -3.17744 -5.06154 -2.64248 -3.64763 -4.97914 -6.37137 -3.05401 -4.12987 -5.10408 -6.21665 2133.8
291.00 68.5618 0.747473 -8.05281 -0.121533 -2.8964 -5.58414 -7.38066 -3.21859 -4.90431 -6.68391 -8.10599 -3.97206 -5.30085 -6.64193 -7.78614 2133.01
292.00 69.433 1.44502 -8.92119 -1.03054 -4.96438 -7.69017 -8.49348 -4.14588 -6.87609 -8.70111 -9.22567 -4.94877 -6.58408 -8.10853 -8.90924 2132.7
293.00 71.8563 3.17141 -11.3488 -4.329 -8.36698 -10.4693 -9.89422 -7.93259 -10.8057 -11.548 -10.996 -8.02983 -10.1589 -11.1041 -11.0512 2132.78
294.00 74.8708 2.32867 -14.341 -9.66379 -13.0981 -12.8023 -12.5629 -12.1662 -13.616 -13.0791 -13.0192 -12.0229 -13.582 -13.7045 -13.9282 2133.16
295.00 76.3035 0.157546 -15.7449 -12.7141 -13.6104 -13.8762 -14.2167 -13.3016 -13.7407 -13.8757 -14.1763 -12.9838 -14.0663 -14.3283 -15.0159 2132.88
296.00 75.2042 -1.74308 -14.6331 -12.5538 -12.9225 -13.8998 -13.9941 -11.4673 -12.2115 -13.2556 -13.5272 -11.2165 -12.1543 -12.9588 -13.4836 2129.57
297.00 72.7353 -2.90191 -12.1817 -10.3541 -10.6144 -11.6386 -13.2585 -9.71793 -9.68848 -11.0379 -12.4056 -9.28582 -9.78578 -10.4458 -11.3636 2125.34
298.00 70.6306 -1.12921 -10.1228 -7.83891 -9.54024 -9.73249 -10.1107 -8.4514 -9.22466 -9.64468 -10.4632 -8.00097 -8.78255 -9.42562 -10.0916 2123.73
